"funcao","kind","language","return_type","complexidade"
"pcp.api_custosvaloresnovo(a_objeto pcp.tcustosvaloresnovo)","FUNCTION","plpgsql","trecibo","Media"
"persona.api_obterfimperiodoaquisitivotrabalhador(ptrabalhador uuid, pinicioperiodoaquisitivoferias date, ptenant bigint)","FUNCTION","plpgsql","date","Media"
"persona.api_recuperardiasafastadostrabalhador(ptrabalhador uuid, pdata_inicial date, pdata_final date, ptipos_afastamentos character varying[], ptipos_afastamentos_nao_usados character varying[], consideradia31 boolean, ptenant bigint)","FUNCTION","plpgsql","int4","Media"
"persona.api_recuperarsalariotrabalhador(a_trabalhador uuid, a_mes smallint, a_ano smallint, a_tenant bigint)","FUNCTION","plpgsql","float8","Media"
"ponto.atualizar_ponto_trabalhador_afastamento(_tenant bigint, _trabalhador uuid, _data date, _dias smallint)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_afastamentotrabalhadores(_tenant bigint, _trabalhador uuid, _data date, _dias smallint)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_data(_tenant bigint, _trabalhador uuid, _data date)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_empresas(_tenant bigint, _empresa uuid)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_estabelecimentos(_tenant bigint, _estabelecimento uuid, _empresa uuid)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_feriados(_tenant bigint, _tipo integer, _sindicato uuid, _estabelecimento uuid, _pessoa uuid, _lotacao uuid, _obra uuid)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_horarios(_tenant bigint, _horario uuid)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_horariosespeciais(_tenant bigint, _horario uuid, _data date)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_jornadas(_tenant bigint, _jornada uuid)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_movimentosponto(_tenant bigint, _tipo smallint, _departamento uuid, _estabelecimento uuid, _lotacao uuid, _empresa uuid, _sindicato uuid)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_mudancastrabalhadores(_tenant bigint, _trabalhador uuid, _datainicial date, _datafinal date, _tipo smallint)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_regras(_tenant bigint, _regra uuid)","FUNCTION","plpgsql","void","Media"
"ponto.atualizar_ponto_trabalhador_sindicatos(_tenant bigint, _sindicato uuid)","FUNCTION","plpgsql","void","Media"
"ponto.busca_horarios_alternativos_trabalhador(_trabalhador uuid, _data date)","FUNCTION","plpgsql","_text","Media"
"ponto.busca_horarios_trabalhador(_trabalhador uuid, _data date, _tenant bigint)","FUNCTION","plpgsql","json","Media"
"ponto.busca_horarios_trabalhador(_trabalhador uuid, _data date)","FUNCTION","plpgsql","json","Media"
"ponto.busca_horarios_trabalhador_dia_semana(_trabalhador uuid, diasemana smallint, _tenant bigint)","FUNCTION","plpgsql","json","Media"
"ponto.busca_horarios_trabalhador_dia_semana(_trabalhador uuid, diasemana smallint)","FUNCTION","plpgsql","json","Media"
"ponto.busca_horarios_trabalhador_dia_semana_v2(_trabalhador uuid, diasemana smallint, _data date)","FUNCTION","plpgsql","json","Media"
"ponto.busca_horarios_trabalhador_v2(_trabalhador uuid, _data date, _tenant bigint)","FUNCTION","plpgsql","json","Media"
"ponto.busca_horarios_trabalhador_v2(_trabalhador uuid, _data date)","FUNCTION","plpgsql","_text","Media"
"ponto.busca_horarios_trabalhador_v3(_trabalhador uuid, _datahora timestamp without time zone)","FUNCTION","plpgsql","_text","Media"
"ponto.busca_horarios_trabalhador_v4(_trabalhador uuid, _datahora timestamp without time zone, _loop integer)","FUNCTION","plpgsql","_text","Media"
"ponto.busca_horarios_trabalhador_v5(_trabalhador uuid, _datahora timestamp without time zone, _tenant bigint)","FUNCTION","plpgsql","_text","Media"
"ponto.busca_horarios_trabalhador_v6(_trabalhador uuid, _datahora timestamp without time zone, _loop integer, _tenant bigint)","FUNCTION","plpgsql","_text","Media"
"ponto.busca_pendencias_inconsistencias_grupo_v2(_grupo uuid, _tenant bigint)","FUNCTION","plpgsql","record","Media"
"ponto.busca_pendencias_inconsistencias_grupo_v3(_grupo uuid, _tenant bigint)","FUNCTION","plpgsql","record","Media"
"ponto.calcula_saldo_banco_horas(_tenant bigint, _empresa uuid, _trabalhador uuid, _data date)","FUNCTION","plpgsql","int8","Media"
"ponto.calcula_saldo_banco_horas_v2(_tenant bigint, _empresa uuid, _trabalhador uuid, _data date)","FUNCTION","plpgsql","void","Media"
"ponto.gerar_senha_rep_trabalhador(_tenant bigint, _trabalhador uuid)","FUNCTION","plpgsql","text","Media"
"ponto.jjrecalcula_saldo_periodo(a_apuracao uuid)","FUNCTION","plpgsql","bool","Media"
"ponto.private_calcular_lancamentos()","FUNCTION","plpgsql","void","Media"
"ponto.private_compensa_atrasos_com_minutos_extras(a_tipo_minutos integer, a_data_final date, a_tipos_lancamentos_minuto_extra integer[])","FUNCTION","plpgsql","void","Media"
"ponto.private_compensa_atrasos_com_minutos_extras(a_tipo_minutos integer, a_data_final date)","FUNCTION","plpgsql","void","Media"
"ponto.private_compensa_faltas_com_minutos_extras(a_tipo_minutos integer, a_data_final date, a_tipos_lancamentos_minuto_extra integer[])","FUNCTION","plpgsql","void","Media"
"ponto.private_compensa_faltas_com_minutos_extras(a_tipo_minutos integer, a_data_final date)","FUNCTION","plpgsql","void","Media"
"ponto.private_compensa_faltas_compensacao_com_minutos_extras(a_tipo_minutos integer, a_data_final date, a_tipos_lancamentos_minuto_extra integer[])","FUNCTION","plpgsql","void","Media"
"ponto.private_compensa_faltas_compensacao_com_minutos_extras(a_data_final date)","FUNCTION","plpgsql","void","Media"
"ponto.private_compensa_saidas_antec_e_atrasos_ent_com_min_extras(a_data_final date)","FUNCTION","plpgsql","void","Media"
"ponto.private_compensa_saidas_antecipadas_com_minutos_extras(a_data_final date)","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_afastamentos()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_atrasos_entradas_compensaveis()","FUNCTION","plpgsql","void","Media"
"ponto.private_incluir_compromissos()","FUNCTION","plpgsql","void","Media"
