"view_name","kind","column_count","complexidade"
"servicos.vwprojetos_v2","VIEW",13,"Alta"
"servicos.vwseriesordemservicos","VIEW",14,"Alta"
"servicos.vwservicosgrupoempresarial","VIEW",11,"Media"
"servicos.vwservicosgrupoempresarial_v2","VIEW",12,"Alta"
"servicos.vwtecnicos","VIEW",31,"Media"
"servicos.vwtecnicos_v2","VIEW",9,"Baixa"
"servicos.vwveiculos","VIEW",10,"Media"
"web.configuracoesatendimento","VIEW",3,"Alta"
"workflow.vw_negociacoescompras","VIEW",30,"Alta"
"workflow.vw_pedidosdecompras","VIEW",17,"Alta"
"workflow.vw_titulos","VIEW",19,"Alta"
